year,category,full_name,show,won
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JACOB WARE,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JEFFREY WRIGHT,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MARGOT BINGHAM,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL KENNETH WILLIAMS,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL STUHLBARG,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NISI STURGIS,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PATRICIA ARQUETTE,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PAUL SPARKS,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RON LIVINGSTON,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SHEA WHIGHAM,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,STEPHEN GRAHAM,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,AARON PAUL,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ANNA GUNN,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BETSY BRANDT,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BOB ODENKIRK,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BRYAN CRANSTON,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DEAN NORRIS,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JESSE PLEMONS,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KEVIN RANKIN,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LAURA FRASER,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LAVELL CRAWFORD,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MATTHEW T. METZLER,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL BOWEN,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PATRICK SANE,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RJ MITTE,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,STEVEN MICHAEL QUEZADA,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,TAIT FLETCHER,BREAKING BAD,TRUE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ALLEN LEECH,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,AMY NUTTALL,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BRENDAN COYLE,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CARA THEOBOLD,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DAN STEVENS,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DAVID ROBB,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ED SPELEERS,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ELIZABETH McGOVERN,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,HUGH BONNEVILLE,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JESSICA BROWN FINDLAY,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JIM CARTER,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JOANNE FROGGATT,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KEVIN DOYLE,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LAURA CARMICHAEL,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LESLEY NICOL,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MAGGIE SMITH,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MATT MILNE,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHELLE DOCKERY,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PENELOPE WILTON,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PHYLLIS LOGAN,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ROB JAMES-COLLIER,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SIOBHAN FINNERAN,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SOPHIE McSHERA,DOWNTON ABBEY,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ALFIE ALLEN,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CARICE VAN HOUTEN,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CHARLES DANCE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,EMILIA CLARKE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,GWENDOLINE CHRISTIE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,HANNAH MURRAY,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,IAIN GLEN,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,IAN McELHINNEY,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ISAAC HEMPSTEAD WRIGHT,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,IWAN RHEON,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JACK GLEESON,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JOE DEMPSIE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JOHN BRADLEY,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KIT HARINGTON,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KRISTOFER HIVJU,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LENA HEADEY,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MACKENZIE CROOK,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MAISIE WILLIAMS,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL McELHATTON,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHELLE FAIRLEY,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NATALIE DORMER,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NATHALIE EMMANUEL,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NIKOLAJ COSTER-WALDAU,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,OONA CHAPLIN,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PAUL KAYE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PHILIP McGINLEY,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RICHARD MADDEN,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RORY McCANN,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ROSE LESLIE,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SIBEL KEKILLI,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SOPHIE TURNER,GAME OF THRONES,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CLAIRE DANES,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DAMIAN LEWIS,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,F. MURRAY ABRAHAM,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MANDY PATINKIN,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MORGAN SAYLOR,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RUPERT FRIEND,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SARITA CHOUDHURY,HOMELAND,FALSE
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,TRACY LETTS,HOMELAND,FALSE
2014 - 20th Annual,FEMALE COMEDY SERIES,TINA FEY,30 ROCK,FALSE
2014 - 20th Annual,FEMALE COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,FALSE
2014 - 20th Annual,FEMALE COMEDY SERIES,EDIE FALCO,NURSE JACKIE,FALSE
2014 - 20th Annual,FEMALE COMEDY SERIES,MAYIM BIALIK,THE BIG BANG THEORY,FALSE
2014 - 20th Annual,FEMALE COMEDY SERIES,JULIA LOUIS-DREYFUS,VEEP,TRUE
2014 - 20th Annual,FEMALE DRAMA SERIES,JESSICA LANGE,AMERICAN HORROR STORY  COVEN,FALSE
2014 - 20th Annual,FEMALE DRAMA SERIES,ANNA GUNN,BREAKING BAD,FALSE
2014 - 20th Annual,FEMALE DRAMA SERIES,MAGGIE SMITH,DOWNTON ABBEY,TRUE
2014 - 20th Annual,FEMALE DRAMA SERIES,CLAIRE DANES,HOMELAND,FALSE
2014 - 20th Annual,FEMALE DRAMA SERIES,KERRY WASHINGTON,SCANDAL,FALSE
2014 - 20th Annual,FEMALE LEAD ROLE,MERYL STREEP,AUGUST  OSAGE COUNTY,FALSE
2014 - 20th Annual,FEMALE LEAD ROLE,CATE BLANCHETT,BLUE JASMINE,TRUE
2014 - 20th Annual,FEMALE LEAD ROLE,SANDRA BULLOCK,GRAVITY,FALSE
2014 - 20th Annual,FEMALE LEAD ROLE,JUDI DENCH,PHILOMENA,FALSE
2014 - 20th Annual,FEMALE LEAD ROLE,EMMA THOMPSON,SAVING MR. BANKS,FALSE
2014 - 20th Annual,FEMALE SUPPORTING ROLE,LUPITA NYONG'O,12 YEARS A SLAVE,TRUE
2014 - 20th Annual,FEMALE SUPPORTING ROLE,JENNIFER LAWRENCE,AMERICAN HUSLE,FALSE
2014 - 20th Annual,FEMALE SUPPORTING ROLE,JULIA ROBERTS,AUGUST  OSAGE COUNTY,FALSE
2014 - 20th Annual,FEMALE SUPPORTING ROLE,OPRAH WINFREY,LEE DANIELS' THE BUTLER,FALSE
2014 - 20th Annual,FEMALE SUPPORTING ROLE,JUNE SQUIBB,NEBRASKA,FALSE
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,ANGELA BASSETT,BETTY & CORETTA,FALSE
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HELENA BONHAM CARTER,BURTON AND TAYLOR,FALSE
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,PHIL SPECTOR,TRUE
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,ELISABETH MOSS,TOP OF THE LAKE,FALSE
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HOLLY HUNTER,TOP OF THE LAKE,FALSE
2014 - 20th Annual,LIFE ACHIEVEMENT,RITA MORENO,N/A,TRUE
2014 - 20th Annual,MALE COMEDY SERIES,ALEC BALDWIN,30 ROCK,FALSE
2014 - 20th Annual,MALE COMEDY SERIES,JASON BATEMAN,ARRESTED DEVELOPMENT,FALSE
2014 - 20th Annual,MALE COMEDY SERIES,DON CHEADLE,HOUSE OF LIES,FALSE
2014 - 20th Annual,MALE COMEDY SERIES,TY BURRELL,MODERN FAMILY,TRUE
2014 - 20th Annual,MALE COMEDY SERIES,JIM PARSONS,THE BIG BANG THEORY,FALSE
2014 - 20th Annual,MALE DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,MALE DRAMA SERIES,BRYAN CRANSTON,BREAKING BAD,TRUE
2014 - 20th Annual,MALE DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,FALSE
2014 - 20th Annual,MALE DRAMA SERIES,KEVIN SPACEY,HOUSE OF CARDS,FALSE
2014 - 20th Annual,MALE DRAMA SERIES,JEFF DANIELS,THE NEWSROOM,FALSE
2014 - 20th Annual,MALE LEAD ROLE,CHIWETEL EJIOFOR,12 YEARS A SLAVE,FALSE
2014 - 20th Annual,MALE LEAD ROLE,TOM HANKS,CAPTAIN PHILLIPS,FALSE
2014 - 20th Annual,MALE LEAD ROLE,MATTHEW McCONAUGHEY,DALLAS BUYERS CLUB,TRUE
2014 - 20th Annual,MALE LEAD ROLE,FOREST WHITAKER,LEE DANIELS' THE BUTLER,FALSE
2014 - 20th Annual,MALE LEAD ROLE,BRUCE DERN,NEBRASKA,FALSE
2014 - 20th Annual,MALE SUPPORTING ROLE,MICHAEL FASSBENDER,12 YEARS A SLAVE,FALSE
2014 - 20th Annual,MALE SUPPORTING ROLE,BARKHAD ABDI,CAPTAIN PHILLIPS,FALSE
2014 - 20th Annual,MALE SUPPORTING ROLE,JARED LETO,DALLAS BUYERS CLUB,TRUE
2014 - 20th Annual,MALE SUPPORTING ROLE,JAMES GANDOLFINI,ENOUGH SAID,FALSE
2014 - 20th Annual,MALE SUPPORTING ROLE,DANIEL BRÜHL,RUSH,FALSE
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,MATT DAMON,BEHIND THE CANDELABRA,FALSE
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,MICHAEL DOUGLAS,BEHIND THE CANDELABRA,TRUE
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,ROB LOWE,KILLING KENNEDY,FALSE
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,AL PACINO,PHIL SPECTOR,FALSE
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,JEREMY IRONS,THE HOLLOW CROWN,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,ALL IS LOST,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,FAST & FURIOUS 6,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,LONE SURVIVOR,TRUE
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,RUSH,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,THE WOLVERINE,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,BOARDWALK EMPIRE,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,GAME OF THRONES,TRUE
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,HOMELAND,FALSE
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,THE WALKING DEAD,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,ALAN ARKIN,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,BEN AFFLECK,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,BRYAN CRANSTON,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,CHRIS MESSINA,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,CHRISTOPHER DENHAM,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,CLEA DUVALL,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,JOHN GOODMAN,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,KERRY BISHÉ,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,KYLE CHANDLER,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,RORY COCHRANE,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,SCOOT MCNAIRY,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,TATE DONOVAN,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,VICTOR GARBER,ARGO,TRUE
2013 - 19th Annual,CAST IN A MOTION PICTURE,,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,AARON TVEIT,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,AMANDA SEYFRIED,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,ANNE HATHAWAY,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,COLM WILKINSON,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,DANIEL HUTTLESTONE,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,EDDIE REDMAYNE,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,HELENA BONHAM CARTER,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,HUGH JACKMAN,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,ISABELLE ALLEN,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,RUSSELL CROWE,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,SACHA BARON COHEN,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,SAMANTHA BARKS,LES MISÉRABLES,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,DANIEL DAY-LEWIS,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,DAVID STRATHAIRN,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,HAL HOLBROOK,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,JAMES SPADER,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,JOSEPH GORDON-LEVITT,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,SALLY FIELD,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,TOMMY LEE JONES,LINCOLN,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,ANUPAM KHER,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,BRADLEY COOPER,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,CHRIS TUCKER,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,JACKI WEAVER,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,JENNIFER LAWRENCE,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,ROBERT DE NIRO,SILVER LININGS PLAYBOOK,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,BILL NIGHY,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,CELIA IMRIE,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,DEV PATEL,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,JUDI DENCH,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,MAGGIE SMITH,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,PENELOPE WILTON,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,RONALD PICKUP,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,CAST IN A MOTION PICTURE,TOM WILKINSON,THE BEST EXOTIC MARIGOLD HOTEL,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ALEC BALDWIN,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JACK MCBRAYER,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JANE KRAKOWSKI,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JUDAH FRIEDLANDER,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SCOTT ADSIT,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,TINA FEY,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,TRACY MORGAN,30 ROCK,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ALEX NEWELL,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,AMBER RILEY,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,CHORD OVERSTREET,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,CHRIS COLFER,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,CORY MONTEITH,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,DARREN CRISS,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,DIANNA AGRON,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,"HARRY SHUM, JR.",GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,HEATHER MORRIS,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JANE LYNCH,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JAYMA MAYS,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JENNA USHKOWITZ,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN MCHALE,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,LEA MICHELE,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,MARK SALLING,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,MATTHEW MORRISON,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,NAYA RIVERA,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SAMUEL LARSEN,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,VANESSA LENGIES,GLEE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ARIEL WINTER,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,AUBREY ANDERSON-EMMONS,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ED O'NEILL,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ERIC STONESTREET,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JESSE TYLER FERGUSON,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,NOLAN GOULD,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,RICO RODRIGUEZ,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SARAH HYLAND,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SOFIA VERGARA,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,TY BURRELL,MODERN FAMILY,TRUE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ANNA DEAVERE SMITH,NURSE JACKIE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ARJUN GUPTA,NURSE JACKIE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,BOBBY CANNAVALE,NURSE JACKIE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,DOMINIC FUMUSA,NURSE JACKIE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,EDIE FALCO,NURSE JACKIE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,EVE BEST,NURSE JACKIE,FALSE
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JAKE CANNAVALE,NURSE JACKIE,FALSE
